Template Content,Template Category
"👋 Hey {{1}}! Are you sure you want to leave the comfort behind? 🤔
🛒 Your cart item {{2}} at ₹ {{3}} only is selling out fast! Complete your purchase soon. Get ₹5000 off on your cart. 😍 Use code: PLATINUM
Did You Know? We offer a warranty of anything between 1-Year to 10-Years, depending on what products you buy. Your purchase is secured. 😊
COMPLETE MY PURCHASE: {{4}}",Marketing
"👋 Hey {{1}}! 🥳 Congratulations! You've won a chance to be our Platinum Member! 😍 Get ₹5000 off on your cart. Use code: PLATINUM Complete your purchase soon. {{2}} For 24 hrs only! ⏳ Complete your purchase now!
WHAT THEY SAY 😊
“Buying mattresses, beds, pillows, chairs or other comfort accessories was a mundane task for me until I started experiencing back pains. I went to the doctor and he suggested upgrading my pillows, mattresses and my desk chair or else I would risk making it worse. The Sleep Company was suggested by a close friend. The SmartGRID technology in particular. I’m impressed with their quality and technology. My back pain reduced over time since I started using my new comfort accessories from them too. I recommend The Sleep Company to everybody!” - Ankur, Verified Customer
RETURN TO MY CART: {{3}}",Marketing
"Dear Customer,
Your request to discontinue the 100-night trial for the following product(s) has been received:
{{1}}
Please provide the {{2}} {{3}} to the store representative to proceed.
After confirmation, returns for this product will be unavailable.",Utility
"Your order is placed, and your {{1}} {{2}}. You might just {{3}}",Utility
"Gentle Reminder! 1️⃣-Click Warranty Registration!
It will take only 5 Seconds to secure your purchase from any damages. Register your warranty & Secure it now: {{1}}
In case of any queries, reach out to us
✉️ care@thesleepcompany.in",Marketing
"Worry-free Coverage with 1️⃣- Click Warranty Registration!
Protect your comfort against any damage effortlessly! Register your warranty now: {{1}}
In case of any queries, reach out to us
✉️ care@thesleepcompany.in",Marketing
"1-Click Hassle Free Warranty Registration
Thank you for choosing The Sleep Company!😇
Secure your purchase now and register your warranty: {{1}}
In case of any queries, reach out to us ✉️ care@thesleepcompany.in",Marketing
"Hi {{1}}!
Our Technician Partner {{2}} (Phn: {{3}}) tried to contact you to confirm the appointment for your installation of order {{4}}, but couldn't reach you. Please get in touch to confirm the installation.
For further assistance please reach out to us at care@thesleepcompany.in",Utility
"Hi {{1}}! The installation appointment for your order {{2}} has been confirmed with our Technician partner {{3}} Please make sure to be available at the time for the installation.
For queries feel free to reach out to us at care@thesleepcompany.in",Utility
"Hi {{1}}! Our Technician partner {{2}} visited for your installation of order {{3}} however the installation is marked failed.
We apologize for any inconvenience caused.
If you need further assistance, please contact us at: +91-9811981911",Utility
"Hi {{1}}!
Our partner Technician {{2}} visited to install your order {{3}}. Your replacement request has been confirmed.
We'll arrange for installation once the replacement is delivered.
Thank you for your patience 💙 Our team is working diligently to ensure you have the best experience.
If you have any questions, feel free to contact us at care@thesleepcompany.in.",Utility
"Hi {{1}},
Your installation for order {{2}} has been rescheduled to {{3}}.
Please ensure your availability on this date for the installation.
We will get in touch with you on the scheduled day to provide the details of the comfort technician.
If you have any queries, feel free to contact us at care@thesleepcompany.in",Utility
"Hi {{1}}!
Our Technician partner {{2}} has been assigned to install your order {{3}}.
He will contact you to confirm the appointment, your installation will be completed in the next {{4}} hours.
Please make sure to be available at the location during the installation.
For further assistance please reach out to us at care@thesleepcompany.in",Utility
"👋 Hey {{1}}! Are you sure you want to leave the comfort behind? 🤔
🛒 Your cart item {{2}} at ₹ {{3}} only is selling out fast! Complete your purchase soon. Get ₹1500 off on your cart. 😍 Use code: SILVER
Did You Know? We offer a warranty of anything between 1-Year to 10-Years, depending on what products you buy. Your purchase is secured. 😊
COMPLETE MY PURCHASE: {{4}}",Marketing
"👋 Hey {{1}}! 🥳 Congratulations! You've won a chance to be our Silver Member! 😍 Get ₹1500 off on your cart. Use code: SILVER Complete your purchase soon. {{2}} For 24 hrs only! ⏳ Complete your purchase now!
WHAT THEY SAY 😊
“Buying mattresses, beds, pillows, chairs or other comfort accessories was a mundane task for me until I started experiencing back pains. I went to the doctor and he suggested upgrading my pillows, mattresses and my desk chair or else I would risk making it worse. The Sleep Company was suggested by a close friend. The SmartGRID technology in particular. I’m impressed with their quality and technology. My back pain reduced over time since I started using my new comfort accessories from them too. I recommend The Sleep Company to everybody!” - Ankur, Verified Customer
RETURN TO MY CART: {{3}}",Marketing
"👋 Hey {{1}}! Are you sure you want to leave the comfort behind? 🤔
🛒 Your cart item {{2}} at ₹ {{3}} only is selling out fast! Complete your purchase soon. Get ₹3000 off on your cart. 😍 Use code: GOLD
Did You Know? We offer a warranty of anything between 1-Year to 10-Years, depending on what products you buy. Your purchase is secured. 😊
COMPLETE MY PURCHASE: {{4}}",Marketing
"👋 Hey {{1}}! 🥳 Congratulations! You've won a chance to be our Gold Member! 😍 Get ₹3000 off on your cart. Use code: GOLD Complete your purchase soon. {{2}} For 24 hrs only! ⏳ Complete your purchase now!
WHAT THEY SAY 😊
“Buying mattresses, beds, pillows, chairs or other comfort accessories was a mundane task for me until I started experiencing back pains. I went to the doctor and he suggested upgrading my pillows, mattresses and my desk chair or else I would risk making it worse. The Sleep Company was suggested by a close friend. The SmartGRID technology in particular. I’m impressed with their quality and technology. My back pain reduced over time since I started using my new comfort accessories from them too. I recommend The Sleep Company to everybody!” - Ankur, Verified Customer
RETURN TO MY CART: {{3}}",Marketing
"Dear {{1}},
As requested, we have successfully updated the delivery address for your order.
Order ID: {{2}}
New Address: {{3}}
Please note that with this change, the estimated delivery date has been revised to {{4}}.",Utility
"Dear {{1}},
🧐 Looks like you forgot something!
Your shopping cart is just like your phone, it should not be left unattended. We want to make shopping as convenient as possible for you and that’s why we started with the Cash on Delivery option! 🚚💰
🤗 No need to worry about online payments or prepaying for your order.
You can now receive your SmartGRID products and pay for them at the same time to enjoy this 🤩 Hassle-Free Payment Option.
The benefits are endless, including:
✅ 100 Nights Free Trial
✅ 10 Years Warranty
✅ Free Shipping & Returns
✅ No Cost EMI
Order Now: {{2}}",Marketing
"Order being processed!
Your The Sleep Company Order is now being processed !
Order ID: {{1}}
Estimated Delivery Date: {{2}}",Utility
